Date,Available
28-02-2025 00:00,11
28-02-2025 01:00,13
28-02-2025 02:00,15
28-02-2025 03:00,16
28-02-2025 04:00,4
28-02-2025 05:00,9
28-02-2025 06:00,12
28-02-2025 07:00,16
28-02-2025 08:00,15
28-02-2025 09:00,7
28-02-2025 10:00,7
28-02-2025 11:00,8
28-02-2025 12:00,4
28-02-2025 13:00,7
28-02-2025 14:00,9
28-02-2025 15:00,14
28-02-2025 16:00,14
28-02-2025 17:00,24
28-02-2025 18:00,32
28-02-2025 19:00,15
28-02-2025 20:00,30
28-02-2025 21:00,8
28-02-2025 22:00,87
28-02-2025 23:00,94
01-03-2025 00:00,48
01-03-2025 01:00,14
01-03-2025 02:00,11
01-03-2025 03:00,8
01-03-2025 04:00,10
01-03-2025 05:00,6
01-03-2025 06:00,9
01-03-2025 07:00,6
01-03-2025 08:00,12
01-03-2025 09:00,17
01-03-2025 10:00,12
01-03-2025 11:00,13
01-03-2025 12:00,13
01-03-2025 13:00,13
01-03-2025 14:00,21
01-03-2025 15:00,29
01-03-2025 16:00,28
01-03-2025 17:00,51
01-03-2025 18:00,124
01-03-2025 19:00,142
01-03-2025 20:00,145
01-03-2025 21:00,204
01-03-2025 22:00,207
01-03-2025 23:00,218
02-03-2025 00:00,226
02-03-2025 01:00,215
02-03-2025 02:00,212
02-03-2025 03:00,149
02-03-2025 04:00,119
02-03-2025 05:00,137
02-03-2025 06:00,121
02-03-2025 07:00,125
02-03-2025 08:00,146
02-03-2025 09:00,149
02-03-2025 10:00,126
02-03-2025 11:00,143
02-03-2025 12:00,139
02-03-2025 13:00,152
02-03-2025 14:00,143
02-03-2025 15:00,145
02-03-2025 16:00,132
02-03-2025 17:00,135
02-03-2025 18:00,143
02-03-2025 19:00,192
02-03-2025 20:00,189
02-03-2025 21:00,191
02-03-2025 22:00,193
02-03-2025 23:00,199
03-03-2025 00:00,178
03-03-2025 01:00,188
03-03-2025 02:00,183
03-03-2025 03:00,179
03-03-2025 04:00,171
03-03-2025 05:00,201
03-03-2025 06:00,228
03-03-2025 07:00,154
03-03-2025 08:00,153
03-03-2025 09:00,130
03-03-2025 10:00,102
03-03-2025 11:00,35
03-03-2025 12:00,11
03-03-2025 13:00,13
03-03-2025 14:00,12
03-03-2025 15:00,10
03-03-2025 16:00,20
03-03-2025 17:00,20
03-03-2025 18:00,30
03-03-2025 19:00,30
03-03-2025 20:00,34
03-03-2025 21:00,31
03-03-2025 22:00,30
03-03-2025 23:00,32
04-03-2025 00:00,35
04-03-2025 01:00,10
04-03-2025 02:00,9
04-03-2025 03:00,8
04-03-2025 04:00,11
04-03-2025 05:00,6
04-03-2025 06:00,5
04-03-2025 07:00,3
04-03-2025 08:00,4
04-03-2025 09:00,10
04-03-2025 10:00,6
04-03-2025 11:00,6
04-03-2025 12:00,6
04-03-2025 13:00,11
04-03-2025 14:00,8
04-03-2025 15:00,5
04-03-2025 16:00,11
04-03-2025 17:00,12
04-03-2025 18:00,18
04-03-2025 19:00,29
04-03-2025 20:00,24
04-03-2025 21:00,11
04-03-2025 22:00,11
04-03-2025 23:00,13
05-03-2025 00:00,48
05-03-2025 01:00,15
05-03-2025 02:00,8
05-03-2025 03:00,3
05-03-2025 04:00,5
05-03-2025 05:00,19
05-03-2025 06:00,0
05-03-2025 07:00,3
05-03-2025 08:00,3
05-03-2025 09:00,20
05-03-2025 10:00,23
05-03-2025 11:00,80
05-03-2025 12:00,60
05-03-2025 13:00,69
05-03-2025 14:00,93
05-03-2025 15:00,115
05-03-2025 16:00,124
05-03-2025 17:00,146
05-03-2025 18:00,154
05-03-2025 19:00,153
05-03-2025 20:00,153
05-03-2025 21:00,162
05-03-2025 22:00,167
05-03-2025 23:00,170
06-03-2025 00:00,174
06-03-2025 01:00,175
06-03-2025 02:00,163
06-03-2025 03:00,159
06-03-2025 04:00,150
06-03-2025 05:00,171
06-03-2025 06:00,148
06-03-2025 07:00,149
06-03-2025 08:00,134
06-03-2025 09:00,147
06-03-2025 10:00,178
06-03-2025 11:00,170
06-03-2025 12:00,162
06-03-2025 13:00,173
06-03-2025 14:00,206
06-03-2025 15:00,204
06-03-2025 16:00,187
06-03-2025 17:00,152
06-03-2025 18:00,151
06-03-2025 19:00,154
06-03-2025 20:00,170
06-03-2025 21:00,189
06-03-2025 22:00,185
06-03-2025 23:00,190
07-03-2025 00:00,165
07-03-2025 01:00,166
07-03-2025 02:00,126
07-03-2025 03:00,83
07-03-2025 04:00,67
07-03-2025 05:00,59
07-03-2025 06:00,56
07-03-2025 07:00,38
07-03-2025 08:00,31
07-03-2025 09:00,32
07-03-2025 10:00,69
07-03-2025 11:00,23
07-03-2025 12:00,14
07-03-2025 13:00,28
07-03-2025 14:00,33
