ODS_Available,CSV_Hybrid_Available,Difference
38,42,-4
49,62,-13
63,81,-18
60,94,-34
97,89,8
98,104,-6
98,113,-15
101,116,-15
107,121,-14
92,106,-14
83,95,-12
32,86,-54
28,71,-43
7,68,-61
19,70,-51
38,67,-29
8,55,-47
15,63,-48
24,64,-40
30,46,-16
15,60,-45
31,38,-7
41,112,-71
36,120,-84
36,93,-57
51,80,-29
61,92,-31
63,100,-37
65,105,-40
66,108,-42
67,119,-52
67,126,-59
67,130,-63
67,127,-60
93,117,-24
88,110,-22
111,92,19
110,95,15
110,91,19
125,99,26
128,98,30
134,113,21
141,177,-36
141,189,-48
114,194,-80
112,243,-131
125,249,-124
129,274,-145
130,292,-162
135,292,-157
141,320,-179
151,266,-115
154,248,-94
154,268,-114
154,269,-115
174,267,-93
175,287,-112
159,286,-127
171,253,-82
187,254,-67
183,247,-64
189,249,-60
189,235,-46
188,231,-43
202,211,-9
204,207,-3
210,207,3
212,237,-25
247,239,8
241,236,5
241,234,7
235,237,-2
233,231,2
276,249,27
277,271,6
192,263,-71
199,262,-63
216,293,-77
216,314,-98
217,249,-32
216,245,-29
209,216,-7
144,168,-24
143,88,55
145,66,79
146,49,97
146,42,104
138,34,104
111,35,76
68,27,41
67,34,33
70,25,45
71,26,45
74,16,58
76,17,59
89,27,62
88,37,51
102,28,74
102,46,56
130,51,79
142,64,78
142,65,77
152,71,81
177,71,106
161,78,83
147,72,75
113,65,48
69,53,16
20,44,-24
11,52,-41
11,47,-36
14,34,-20
10,44,-34
10,39,-29
12,38,-26
10,49,-39
9,46,-37
8,29,-21
9,28,-19
10,33,-23
10,88,-78
9,69,-60
9,84,-75
10,89,-79
16,93,-77
10,109,-99
10,109,-99
9,118,-109
16,115,-99
13,121,-108
15,116,-101
18,152,-134
8,123,-115
11,128,-117
12,140,-128
12,148,-136
15,154,-139
7,170,-163
7,162,-155
7,163,-156
10,162,-152
16,163,-147
27,165,-138
31,166,-135
12,188,-176
25,209,-184
26,202,-176
21,211,-190
36,205,-169
36,226,-190
14,211,-197
22,210,-188
57,204,-147
61,205,-144
64,216,-152
75,203,-128
85,182,-97
21,191,-170
18,211,-193
7,204,-197
9,190,-181
8,135,-127
11,134,-123
5,138,-133
4,146,-142
6,167,-161
6,160,-154
5,171,-166
6,158,-152
6,172,-166
11,161,-150
12,122,-110
11,111,-100
15,112,-97
23,117,-94
23,104,-81
23,95,-72
14,92,-78
8,118,-110
8,57,-49
10,37,-27
11,42,-31
7,45,-38
