Date,Prophet,Residuals,Available
28-02-2025 00:00,82.28272941,-39.61125,42
28-02-2025 01:00,88.23525215,-25.565516,62
28-02-2025 02:00,93.29262483,-11.456838,81
28-02-2025 03:00,97.20363697,-2.4276223,94
28-02-2025 04:00,101.0009157,-11.616863,89
28-02-2025 05:00,105.8106784,-1.2521696,104
28-02-2025 06:00,111.2047464,1.7988627,113
28-02-2025 07:00,114.779735,1.7358292,116
28-02-2025 08:00,113.6683141,7.732799,121
28-02-2025 09:00,106.8809005,0.042501982,106
28-02-2025 10:00,96.45826271,-1.1227379,95
28-02-2025 11:00,86.33055504,0.49442095,86
28-02-2025 12:00,79.7459045,-7.8718433,71
28-02-2025 13:00,77.3546917,-9.1093855,68
28-02-2025 14:00,77.40238057,-6.656026,70
28-02-2025 15:00,77.61673574,-10.107515,67
28-02-2025 16:00,77.01414068,-21.742455,55
28-02-2025 17:00,76.18226426,-12.931075,63
28-02-2025 18:00,76.16638742,-11.78049,64
28-02-2025 19:00,77.31660627,-30.392641,46
28-02-2025 20:00,79.220882,-18.840097,60
28-02-2025 21:00,81.54466242,-42.77064,38
28-02-2025 22:00,84.64204408,28.343292,112
28-02-2025 23:00,89.1621608,30.918024,120
01-03-2025 00:00,95.09278543,-1.8418589,93
01-03-2025 01:00,101.4023967,-20.598068,80
01-03-2025 02:00,106.8452671,-14.749746,92
01-03-2025 03:00,111.1823983,-10.830562,100
01-03-2025 04:00,115.4586141,-9.791876,105
01-03-2025 05:00,120.8120862,-12.069092,108
01-03-2025 06:00,126.8261192,-7.1543455,119
01-03-2025 07:00,131.1081154,-5.1033173,126
01-03-2025 08:00,130.8006158,-0.77696186,130
01-03-2025 09:00,124.9227805,2.3170767,127
01-03-2025 10:00,115.5227952,1.6551005,117
01-03-2025 11:00,106.5367208,3.826661,110
01-03-2025 12:00,101.2169144,-9.187295,92
01-03-2025 13:00,100.2161636,-4.6707616,95
01-03-2025 14:00,101.7803935,-9.900749,91
01-03-2025 15:00,103.6357855,-4.6081266,99
01-03-2025 16:00,104.7950231,-6.656882,98
01-03-2025 17:00,105.8399145,7.7895155,113
01-03-2025 18:00,107.8077045,70.10918,177
01-03-2025 19:00,111.038291,78.957275,189
01-03-2025 20:00,115.1073205,79.17378,194
01-03-2025 21:00,119.6658828,123.49084,243
01-03-2025 22:00,125.0517774,124.205444,249
01-03-2025 23:00,131.8960335,142.57938,274
02-03-2025 00:00,140.1666715,152.77272,292
02-03-2025 01:00,148.8109541,143.53065,292
02-03-2025 02:00,156.5606836,163.65887,320
02-03-2025 03:00,163.1533663,102.86692,266
02-03-2025 04:00,169.6095547,79.04906,248
02-03-2025 05:00,177.0426378,91.21186,268
02-03-2025 06:00,185.0109035,84.75123,269
02-03-2025 07:00,191.0967906,76.316086,267
02-03-2025 08:00,192.4182229,94.771576,287
02-03-2025 09:00,187.9703857,98.62044,286
02-03-2025 10:00,179.7784267,73.480995,253
02-03-2025 11:00,171.7565962,83.08839,254
02-03-2025 12:00,167.1369495,79.864784,247
02-03-2025 13:00,166.5537521,82.54478,249
02-03-2025 14:00,168.2364405,67.6877,235
02-03-2025 15:00,169.896978,61.292065,231
02-03-2025 16:00,170.5363147,40.854897,211
02-03-2025 17:00,170.7272007,37.2725,207
02-03-2025 18:00,171.5006601,35.629322,207
02-03-2025 19:00,173.1933423,64.62154,237
02-03-2025 20:00,175.3807188,64.098305,239
02-03-2025 21:00,177.7168481,58.485996,236
02-03-2025 22:00,180.5456771,54.305527,234
02-03-2025 23:00,184.5075615,52.8665,237
03-03-2025 00:00,189.5829927,42.120865,231
03-03-2025 01:00,194.7347791,54.75886,249
03-03-2025 02:00,198.7132375,72.323715,271
03-03-2025 03:00,201.2772202,62.302536,263
03-03-2025 04:00,203.4712847,59.080273,262
03-03-2025 05:00,206.4352818,86.874435,293
03-03-2025 06:00,209.7561875,104.86046,314
03-03-2025 07:00,211.0470959,38.588276,249
03-03-2025 08:00,207.4582725,38.31126,245
03-03-2025 09:00,198.0186282,18.085524,216
03-03-2025 10:00,184.7881005,-16.150116,168
03-03-2025 11:00,171.7164592,-83.61646,88
03-03-2025 12:00,162.0716654,-95.8788,66
03-03-2025 13:00,156.5239255,-107.295074,49
03-03-2025 14:00,153.3382992,-110.60763,42
03-03-2025 15:00,150.2617034,-115.85102,34
03-03-2025 16:00,146.3290257,-111.00766,35
03-03-2025 17:00,142.1456,-114.41178,27
03-03-2025 18:00,138.7733571,-104.14952,34
