Date,Total Nodes(C),In Use,Offline,Available,Down,Running Jobs,Jobs in Queue
06-06-2025 12:03,422,409,4,12,0,121,30
06-06-2025 12:04,422,409,4,12,0,121,30
06-06-2025 12:05,422,409,4,12,0,121,30
06-06-2025 12:30,422,409,4,12,0,120,29
06-06-2025 13:30,422,411,4,10,0,118,30
06-06-2025 14:30,422,409,3,13,0,115,33
06-06-2025 15:30,422,413,3,9,0,117,34
06-06-2025 16:30,422,398,3,23,0,128,30
06-06-2025 17:30,422,414,3,7,0,126,24
06-06-2025 18:30,422,415,3,6,0,125,28
06-06-2025 19:30,422,413,2,9,0,120,22
06-06-2025 20:30,422,415,2,7,0,120,20
06-06-2025 21:30,422,412,2,10,0,118,19
06-06-2025 22:30,422,413,2,9,0,118,24
06-06-2025 23:30,422,412,2,10,0,119,25
07-06-2025 00:30,422,390,2,32,0,116,29
07-06-2025 01:30,422,410,2,12,0,117,26
07-06-2025 02:30,422,399,2,23,0,110,26
07-06-2025 03:30,422,404,2,18,0,107,24
07-06-2025 04:30,422,402,2,19,0,105,24
07-06-2025 05:30,422,395,2,26,0,102,21
07-06-2025 06:30,422,394,2,27,0,100,21
07-06-2025 07:30,422,407,2,14,0,100,20
07-06-2025 08:30,422,409,2,12,0,102,17
07-06-2025 09:30,422,410,2,11,0,104,20
07-06-2025 10:30,422,411,2,10,0,96,24
07-06-2025 11:30,422,415,2,6,0,101,23
07-06-2025 12:30,422,417,2,4,0,103,21
07-06-2025 13:30,422,417,2,4,0,102,25
07-06-2025 14:30,422,417,2,4,0,102,22
07-06-2025 15:30,422,380,2,41,0,98,19
07-06-2025 16:30,422,373,2,48,0,102,22
07-06-2025 17:30,422,357,2,64,0,100,21
07-06-2025 18:30,422,354,2,67,0,101,21
07-06-2025 19:30,422,366,2,55,0,102,18
07-06-2025 20:30,422,402,2,19,0,112,25
07-06-2025 21:30,422,405,2,16,0,111,25
07-06-2025 22:30,422,409,2,12,0,111,28
07-06-2025 23:30,422,410,2,11,0,115,29
08-06-2025 00:30,422,409,2,12,0,112,27
08-06-2025 01:30,422,396,2,25,0,109,26
08-06-2025 02:30,422,414,2,7,0,106,25
08-06-2025 03:30,422,406,2,15,0,105,25
08-06-2025 04:30,422,395,2,25,0,102,21
08-06-2025 05:30,422,408,2,12,0,98,18
08-06-2025 06:30,422,397,2,23,0,96,18
08-06-2025 07:30,422,386,2,34,0,95,16
08-06-2025 08:30,422,387,2,33,0,97,16
08-06-2025 09:30,422,390,1,31,0,96,16
08-06-2025 10:30,422,403,1,18,0,88,15
08-06-2025 11:30,422,400,1,21,0,87,12
08-06-2025 12:30,422,412,1,9,0,87,16
08-06-2025 13:30,422,412,1,9,0,86,12
08-06-2025 14:30,422,396,1,25,0,84,8
08-06-2025 15:30,422,415,1,6,0,87,10
08-06-2025 16:30,422,383,1,38,0,86,8
08-06-2025 17:30,422,353,1,68,0,83,8
08-06-2025 18:30,422,378,1,43,0,85,8
08-06-2025 19:30,422,406,1,15,0,87,8
08-06-2025 20:30,422,395,1,26,0,89,9
08-06-2025 21:30,422,413,1,8,0,90,17
08-06-2025 22:30,422,411,1,10,0,90,16
08-06-2025 23:30,422,409,1,12,0,93,12
09-06-2025 00:30,422,402,1,19,0,91,10
09-06-2025 01:30,422,365,1,56,0,88,10
09-06-2025 02:30,422,355,1,66,0,86,10
09-06-2025 03:30,422,320,1,101,0,79,9
09-06-2025 04:30,422,312,1,109,0,77,9
09-06-2025 05:30,422,300,1,121,0,73,9
09-06-2025 06:30,422,300,1,121,0,73,9
09-06-2025 07:30,422,263,1,158,0,69,8
09-06-2025 08:30,422,268,1,153,0,73,6
09-06-2025 09:30,422,334,1,87,0,87,10
09-06-2025 10:30,422,384,1,37,0,106,9
09-06-2025 11:30,422,411,2,10,0,114,9
09-06-2025 12:30,422,408,1,14,0,113,4
09-06-2025 13:30,422,416,1,6,0,116,5
09-06-2025 14:30,422,417,1,5,0,124,9
09-06-2025 15:30,422,418,1,4,0,127,11
09-06-2025 16:30,422,415,1,7,0,121,7
09-06-2025 17:30,422,417,1,5,0,121,7
09-06-2025 18:30,422,414,1,8,0,119,11
09-06-2025 19:30,422,415,1,7,0,130,22
09-06-2025 20:30,422,416,1,6,0,122,21
09-06-2025 21:30,422,401,1,21,0,111,14
09-06-2025 22:30,422,354,1,68,0,107,14
09-06-2025 23:30,422,362,1,60,0,107,17
10-06-2025 00:30,422,363,1,59,0,107,17
10-06-2025 01:30,422,379,1,43,0,105,16
10-06-2025 02:30,422,370,1,52,0,102,15
10-06-2025 03:30,422,366,1,56,0,101,15
10-06-2025 04:30,422,362,1,60,0,98,14
10-06-2025 05:30,422,361,1,61,0,98,14
10-06-2025 06:30,422,357,1,65,0,97,14
10-06-2025 07:30,422,326,1,96,0,95,14
10-06-2025 08:30,422,323,1,99,0,94,12
10-06-2025 09:30,422,367,1,55,0,101,12
10-06-2025 10:30,422,362,1,60,0,112,10
10-06-2025 11:30,422,371,1,51,0,131,14
10-06-2025 12:30,422,404,1,18,0,142,14
10-06-2025 13:30,422,414,1,8,0,139,16
10-06-2025 14:30,422,412,1,9,0,134,17
10-06-2025 15:30,422,416,1,5,0,137,20
10-06-2025 16:30,422,411,1,10,0,135,16
10-06-2025 17:30,422,414,1,7,0,140,21
10-06-2025 18:30,422,414,1,7,0,131,21
10-06-2025 19:30,422,415,1,6,0,129,29
10-06-2025 20:30,422,417,0,5,0,128,30
10-06-2025 21:30,422,418,0,4,0,124,27
10-06-2025 22:30,422,417,0,5,0,123,21
10-06-2025 23:30,422,418,0,4,0,124,19
11-06-2025 00:30,422,414,0,8,0,121,17
11-06-2025 01:30,422,406,0,16,0,118,15
11-06-2025 02:30,422,403,0,19,0,116,15
11-06-2025 03:30,422,416,0,6,0,115,13
11-06-2025 04:30,422,415,0,7,0,113,10
11-06-2025 05:30,422,404,0,18,0,109,8
11-06-2025 06:30,422,402,0,20,0,108,8
11-06-2025 07:30,422,398,0,24,0,104,7
11-06-2025 08:30,422,370,0,52,0,102,6
11-06-2025 09:30,422,371,0,51,0,103,6
11-06-2025 10:30,422,416,0,6,0,124,18
11-06-2025 11:30,422,404,2,17,0,127,12
11-06-2025 12:30,422,414,2,7,0,119,16
11-06-2025 13:30,422,410,2,11,0,120,13
11-06-2025 14:30,422,417,2,4,0,124,19
11-06-2025 15:30,422,401,2,20,0,131,16
11-06-2025 16:30,422,411,1,11,0,132,20
11-06-2025 17:30,422,414,1,6,1,128,29
11-06-2025 18:30,422,413,1,8,0,127,27
11-06-2025 19:30,422,413,1,8,0,124,22
11-06-2025 20:30,422,414,1,7,0,121,22
11-06-2025 21:30,422,404,1,17,0,112,16
11-06-2025 22:30,422,402,1,19,0,112,16
11-06-2025 23:30,422,416,1,5,0,117,13
12-06-2025 00:30,422,401,1,20,0,112,13
12-06-2025 01:30,422,399,1,22,0,112,13
12-06-2025 02:30,422,415,1,6,0,110,17
12-06-2025 03:30,422,413,1,8,0,110,9
12-06-2025 04:30,422,409,1,12,0,105,7
12-06-2025 05:30,422,409,1,12,0,102,6
12-06-2025 06:30,422,406,1,15,0,99,1
12-06-2025 07:30,422,405,1,16,0,98,1
12-06-2025 08:30,422,413,1,8,0,95,2
12-06-2025 09:30,422,407,1,14,0,100,7
12-06-2025 10:30,422,414,1,7,0,107,19
12-06-2025 11:30,422,417,1,3,1,113,35
12-06-2025 12:30,422,416,2,4,0,120,25
12-06-2025 13:30,422,418,1,3,0,123,26
12-06-2025 14:30,422,419,1,2,0,128,19
12-06-2025 15:30,422,408,1,13,0,132,9
12-06-2025 16:30,422,398,1,23,0,130,9
12-06-2025 17:30,422,415,1,6,0,132,20
12-06-2025 18:30,422,416,0,6,0,132,14
12-06-2025 19:30,422,414,0,8,0,130,10
12-06-2025 20:30,422,416,0,6,0,131,18
12-06-2025 21:30,422,414,0,8,0,125,17
12-06-2025 22:30,422,415,0,7,0,127,11
12-06-2025 23:30,422,410,0,12,0,122,9
13-06-2025 00:30,422,408,0,14,0,127,10
13-06-2025 01:30,422,395,0,27,0,120,7
13-06-2025 02:30,422,394,0,28,0,119,6
13-06-2025 03:30,422,389,0,33,0,116,6
13-06-2025 04:30,422,409,0,13,0,115,5
13-06-2025 05:30,422,409,0,13,0,115,5
13-06-2025 06:30,422,399,0,23,0,112,3
13-06-2025 07:30,422,391,0,31,0,108,2
13-06-2025 08:30,422,395,0,27,0,109,2
13-06-2025 09:30,422,403,0,19,0,112,2
13-06-2025 10:30,422,414,0,8,0,119,15
13-06-2025 11:30,422,414,0,8,0,127,32
13-06-2025 12:30,422,415,2,6,0,127,35
